,transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score
1233,1566,255,36.08686853712124,QR,Clothing,TR,21,0.2716254654637076,0.2777400510777192
5813,7157,752,144.70483379768532,Online,Food,US,10,0.1863173204269351,0.0547416062728468
9740,793,541,182.26909163535677,QR,Electronics,FR,9,0.1072778044831807,0.0738972307112035
6393,3267,672,114.53107489249008,Online,Food,UK,21,0.1193897100676203,0.0325110796733156
3504,2150,205,52.79362217687898,Online,Grocery,FR,11,0.1988176305628935,0.2294714719349919
7551,2174,486,130.5255501179507,POS,Electronics,FR,17,3.864741998740318e-05,0.0734747183966152
271,6092,30,59.8410027101015,Online,Clothing,TR,15,0.0257787120925611,0.1794074514861067
550,7097,923,43.10671626731079,QR,Clothing,FR,19,0.1368548863357665,0.089455777080205
1082,3124,916,106.82957586991964,POS,Electronics,FR,21,0.2364227037852506,0.0288704357913002
9460,6772,214,104.92008334074345,Online,Travel,UK,9,0.0429190800842155,0.2697761532017494
3552,625,437,83.66013285503547,POS,Clothing,FR,8,0.2337328030360504,0.1376935775387182
695,5794,240,63.44078795429799,Online,Food,FR,9,0.1051395637235616,0.2017347788772091
7079,1168,376,78.51120369234897,ATM,Food,DE,10,0.0106860418232089,0.2748492610301152
8979,5082,905,134.3070962120883,POS,Clothing,FR,13,0.2587078769857815,0.1046897305369804
6682,5117,4,89.93922610539546,QR,Grocery,US,21,0.2031920164571079,0.1384877209527199
9489,1210,442,79.24776997811826,POS,Food,UK,17,0.1095503795218071,0.0233430447049719
5310,747,470,98.26672151311966,QR,Food,FR,22,0.1490304107029966,0.0338459577093744
9717,2055,180,125.95347696861104,QR,Clothing,UK,16,0.1325066526643832,0.1718042749652003
2456,6220,206,148.56949447137714,QR,Travel,FR,13,0.1253991235572423,0.1738901736761562
2477,9051,992,57.73754981714673,ATM,Clothing,FR,11,0.1877496160802029,0.2637761076189692
4199,6386,860,51.23331611548889,POS,Electronics,US,19,0.1463542862313083,0.2000072148030516
1626,4827,935,116.43130576880512,Online,Grocery,FR,12,0.0264327720981627,0.185329296503347
8114,9308,966,99.60920414547104,ATM,Travel,FR,13,0.1624863484629686,0.2409967730068832
2857,7771,943,75.23176866050274,POS,Clothing,DE,11,0.086939916290906,0.0948679561387631
981,2762,315,162.95906607566025,ATM,Clothing,US,23,0.1610030365073216,0.0650726331197216
444,9848,216,10.0,ATM,Electronics,US,4,0.7518448903408574,0.9674578342314496
2187,2570,589,232.68624376831752,POS,Food,FR,21,0.2631569770026403,0.2563964663961799
8422,800,205,1.0,QR,Grocery,TR,11,0.1167138405617369,0.0386116863891517
1251,8412,129,98.03300220363197,Online,Travel,UK,7,0.2349944786467139,0.1314491746266541
5106,6928,692,29.777587458336825,Online,Electronics,UK,9,0.1986566334562446,0.2595137158835285
1726,1867,92,155.8434081135369,ATM,Grocery,US,23,0.0322088659939077,0.1641684131545479
620,6921,976,107.5261602784348,ATM,Grocery,US,17,0.1167454154401411,0.1862037356443921
7712,7503,439,93.87735932311271,QR,Food,US,20,0.0414896894538216,0.1049754414109915
1822,8944,10,186.2759702282249,QR,Grocery,TR,7,0.1084398085976169,0.2455770596962394
7576,9553,481,3178.9074362711717,QR,Travel,UK,2,0.8704748613861395,0.8790254941658662
6000,7222,115,97.04800842046566,QR,Grocery,TR,9,0.0228115821647685,0.1381727516778982
6641,3957,863,119.95943584407298,Online,Clothing,US,17,0.0425230559340813,0.032543482615852
4878,3060,95,52.56877449067851,QR,Grocery,UK,18,0.0049794945049236,0.1668409643477837
6481,624,264,145.13301446912428,POS,Clothing,DE,6,0.181473901816439,0.1644184951068038
4846,135,455,14.14116650688581,ATM,Food,FR,12,0.0014037766921659,0.2428974756119893
8587,6144,41,55.01611588584983,ATM,Clothing,TR,12,0.2115294324859938,0.066295437719541
8179,9118,537,138.38347443821837,ATM,Electronics,FR,20,0.1537898611352842,0.1058186265243576
8572,605,169,49.17378189086988,ATM,Clothing,US,16,0.0761210363706036,0.0289994174228478
124,1004,140,28.793879417103117,Online,Travel,TR,8,0.1389189828016998,0.144703084569777
202,7826,127,77.82567804908726,Online,Electronics,UK,10,0.04381698059603,0.2375198380733238
1473,3981,387,149.15250743394756,QR,Grocery,FR,18,0.0028256135108663,0.1603030943387254
2002,1529,48,101.824996591308,QR,Clothing,DE,8,0.018997876404682,0.0451964607667339
8269,7841,15,77.55714201626456,ATM,Clothing,UK,14,0.23683635506466,0.1598234759985843
4880,9445,16,147.13478337496372,Online,Grocery,DE,9,0.0816739154508892,0.067681605290241
7563,2190,480,144.5760609202915,POS,Electronics,UK,21,0.2919476429187554,0.2959600471333264
439,7368,126,112.72662948938192,ATM,Clothing,UK,7,0.192008200741798,0.2180393808499058
311,6042,235,141.74586737133768,POS,Electronics,DE,17,0.0196945518386455,0.0028849695821021
6701,9375,561,106.69921119716612,Online,Grocery,US,18,0.2001199504131543,0.2074632713502016
3746,8010,554,202.71611027813665,QR,Electronics,TR,21,0.2152387748033738,0.224081573152883
7162,9788,297,870.6639594057606,Online,Travel,NG,4,0.7519998446540628,0.8333257047581926
7990,3148,728,69.66845863389311,ATM,Electronics,US,13,0.2601506623201287,0.2883430508965177
3634,9851,430,982.9743118715924,QR,Grocery,NG,18,0.7837565917368701,0.8218240924737819
5672,3010,340,175.4724525201325,ATM,Electronics,FR,8,0.1297112304414099,0.2280349509615057
9157,5712,808,254.3656905556172,Online,Electronics,FR,15,0.0655377983496106,0.0811294048319737
7556,7063,778,76.01792973031858,Online,Clothing,FR,13,0.0318246933225265,0.2135320763331197
514,7374,256,136.54161175974625,Online,Food,UK,16,0.1944428134112526,0.1047740308849777
136,4305,481,88.35448962548779,POS,Travel,TR,17,0.0190876387623894,0.2648651820502199
5986,3324,665,103.63136940897014,POS,Electronics,UK,12,0.2588769125613336,0.0897428856684803
